repo_id,repo_name,description,stars,forks,watchers,open_issues,size_kb,language,topics,repo_age_days,last_commit_days,releases,contributors,recent_commits,merged_prs,has_cicd,readme_length,is_fork,is_template,is_archived,has_license,has_wiki,has_pages,has_description,commit_rate,engagement_ratio,is_mature,is_active,description_length,topics_count,text_summary,label,confidence,reasoning
1191223036,pilgrimdelamare/lentemattutinacontent,Articoli La Lente Mattutina,0,0,0,0,331285,,,64,0,0,1,1000,0,0,0,0,0,0,0,1,0,1,333.33,0.0,0,1,27,0,"Description: Articoli La Lente Mattutina. very large codebase. no stars. no forks. solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 64 days old (recent). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. no README. Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, scarce documentation, wiki enabled, no topics declared, young and actively developed.",junior,0.75,"Despite high recent commit activity, the repository is a solo project with no CI/CD, no PR workflow, no releases, and minimal documentation (no README). This indicates a functional but immature engineering setup, typical of a junior-level project."
989087350,ransuhaneda/ransuhaneda,Github README,0,0,0,0,472,JavaScript,,369,0,0,1,333,3,1,2918,0,0,0,0,1,0,1,111.0,0.0,1,1,13,0,"Description: Github README. Primary language: JavaScript. small codebase. no stars. no forks. solo project (1 contributor). 333 commits in last 90 days (~111.0/month, high activity). updated today. 1.0 years old (mature repository). 3 merged pull requests. No formal releases. no open issues. Has CI/CD workflows configured. detailed README (2918 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, automated CI/CD pipeline, some PR review activity, no formal releases, wiki enabled, no topics declared, mature and currently active.",junior,0.75,"Solo project with high recent commit activity and CI/CD, but no releases, no stars/forks, and limited PRs. Shows some structure but lacks community engagement and formal release process."
1171291990,mikeCode321/vantagelabs,,1,0,1,44,746,TypeScript,,85,0,0,2,225,69,0,4973,0,0,0,0,1,0,0,75.0,0.0233,0,1,0,0,"Primary language: TypeScript. small codebase. 1 stars (very low visibility). no forks. 2 contributors (small team). 225 commits in last 90 days (~75.0/month, high activity). updated today. 85 days old (recent). 69 merged pull requests. No formal releases. 44 open issues (heavy issue activity). No CI/CD workflows detected. detailed README (4973 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0233. Combined engineering signals: very small team, no automated CI/CD, established PR-review workflow, no formal releases, extensive documentation, wiki enabled, no topics declared, young and actively developed.",junior,0.75,"The repository shows high recent activity (225 commits in 90 days) and a structured PR workflow (69 merged PRs), but lacks CI/CD, formal releases, and has a very small team (2 contributors) with low visibility (1 star). The extensive documentation and wiki suggest some maturity, but the absence of automated testing/deployment and formal releases places it at a junior level."
1250528518,mulistera1/fevdkr,,0,0,0,0,93371,,,1,0,0,1,1000,0,0,0,0,0,0,0,1,0,0,333.33,0.0,0,1,0,0,"large codebase. no stars. no forks. solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. brand new repository (less than 1 week old). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. no README. Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, scarce documentation, wiki enabled, no topics declared, young and actively developed.",junior,0.75,"High commit frequency and recent activity indicate active development, but the lack of CI/CD, documentation, PR workflow, and solo contributor point to a junior-level project with limited engineering maturity."
1142995053,taxborn/nixcfg,My Nix configuration,0,0,0,0,3607,Nix,,120,0,0,1,277,2,0,295,0,0,0,0,1,0,1,92.33,0.0,0,1,20,0,"Description: My Nix configuration. Primary language: Nix. medium-sized codebase. no stars. no forks. solo project (1 contributor). 277 commits in last 90 days (~92.33/month, high activity). updated today. 120 days old (recent). 2 merged pull requests. No formal releases. no open issues. No CI/CD workflows detected. minimal README (295 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, some PR review activity, no formal releases, wiki enabled, no topics declared, young and actively developed.",junior,0.85,"Solo developer with high recent commit activity and some PR review, but lacks CI/CD, formal releases, and comprehensive documentation. The project is actively developed but still at a functional, structured stage typical of junior-level work."
1209118661,nagaitaka4/tasks,個人タスク管理,0,0,0,0,35,,,44,0,0,1,50,0,0,2505,0,0,0,0,1,0,1,16.67,0.0,0,1,7,0,"Description: 個人タスク管理. very small codebase. no stars. no forks. solo project (1 contributor). 50 commits in last 90 days (~16.67/month, moderate activity). updated today. 44 days old (recent). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. detailed README (2505 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, wiki enabled, no topics declared, young and actively developed.",junior,0.85,"Solo project with moderate recent commits and a detailed README, but lacks CI/CD, formal releases, and PR workflow, indicating functional but not yet mature engineering practices."
1250529245,kishanyasm/hcmhkk,,0,0,0,0,114498,,,1,0,0,1,1000,0,0,0,0,0,0,0,1,0,0,333.33,0.0,0,1,0,0,"very large codebase. no stars. no forks. solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. brand new repository (less than 1 week old). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. no README. Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, scarce documentation, wiki enabled, no topics declared, young and actively developed.",junior,0.75,"High recent commit activity suggests active development, but the project is very new, solo, lacks CI/CD, documentation, and formal releases, indicating a junior-level maturity."
1236263872,williamllin/LeetCode-Solutions,LeetCode-Solutions,1,0,1,0,144,Python,,15,0,0,1,279,0,0,8257,0,0,0,0,1,0,1,93.0,0.125,0,1,18,0,"Description: LeetCode-Solutions. Primary language: Python. small codebase. 1 stars (very low visibility). no forks. solo project (1 contributor). 279 commits in last 90 days (~93.0/month, high activity). updated today. 15 days old (very recent). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. detailed README (8257 chars). Wiki enabled. Engagement ratio (stars+2*forks+watchers per day of age): 0.125. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, extensive documentation, wiki enabled, no topics declared, young and actively developed.",junior,0.85,"Solo developer with high recent commit activity and detailed README/wiki, but lacks CI/CD, PR workflow, releases, and community engagement, indicating a functional but early-stage project."
1147208835,chenxi750328ai/agent-jianghu,agent江湖 - 多Agent协作平台,1,0,1,7,84281,Python,multi-agent,115,0,0,2,1000,10,1,3585,0,0,0,1,1,1,1,333.33,0.0172,0,1,20,1,"Description: agent江湖 - 多Agent协作平台. Primary language: Python. Topics: multi-agent. large codebase. 1 stars (very low visibility). no forks. 2 contributors (small team). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 115 days old (recent). 10 merged pull requests. No formal releases. 7 open issues (heavy issue activity). Has CI/CD workflows configured. detailed README (3585 chars). Wiki enabled. GitHub Pages site published. Has an open source license. Engagement ratio (stars+2*forks+watchers per day of age): 0.0172. Combined engineering signals: very small team, automated CI/CD pipeline, some PR review activity, no formal releases, extensive documentation, wiki enabled, GitHub Pages site published, open-source license, young and actively developed.",junior,0.75,"The repository shows high recent activity (1000 commits in 90 days) and has CI/CD, documentation, wiki, and GitHub Pages, indicating some structure. However, it has very low visibility (1 star, no forks), a small team (2 contributors), no formal releases, and a young age (115 days). The high commit rate and issue activity suggest active development but not yet mature engineering practices like releases or broad adoption."
1241961466,shinobi-hunter/kobo-media,,0,0,0,0,11241,,,10,0,0,1,1000,0,0,0,0,0,0,0,0,0,0,333.33,0.0,0,1,0,0,"large codebase. no stars. no forks. solo project (1 contributor). 1000 commits in last 90 days (~333.33/month, high activity). updated today. 10 days old (very recent). No merged pull requests recorded. No formal releases. no open issues. No CI/CD workflows detected. no README. Engagement ratio (stars+2*forks+watchers per day of age): 0.0. Combined engineering signals: solo developer, no automated CI/CD, no visible PR-review workflow, no formal releases, scarce documentation, no topics declared, young and actively developed.",junior,0.85,"High commit frequency and recent activity suggest active development, but the project is solo, lacks CI/CD, documentation, releases, and PR workflow, indicating a junior-level maturity with functional but unstructured practices."
