feature,mean_abs_coef
is_mature,0.8800725159839878
has_cicd,0.8049577767177493
has_license,0.8010287490818797
merged_prs,0.7741572307685055
has_description,0.6564720878789196
repo_age_days,0.6291408314808142
has_wiki,0.591603529859794
readme_length,0.5278788568260233
recent_commits,0.4525443213891036
commit_rate,0.4525192295303662
releases,0.42174444726479005
has_pages,0.40164591523528176
open_issues,0.36800625895606515
contributors,0.3572469145411956
description_length,0.2983564687513379
forks,0.2931480768016524
topics_count,0.2740255109760518
stars,0.26974091556564417
watchers,0.26974091556564417
size_kb,0.1874655604976667
engagement_ratio,0.13541534549255327
last_commit_days,0.0
is_fork,0.0
is_archived,0.0
is_template,0.0
is_active,0.0
